Prepared by https://satya-data.blogspot.com,,,,,,,,,,,,,,
Season Number,Name,Profession,Entry Date,Elimination Date,Elimination Week Number,Wild Card,Winner,Season Length,Number of Housemates,Season Start Date,Season End Date,Host Name,Prize Money (INR),Broadcasted By
1,Aadarsh,Actor,16-Jul-17,24-Sep-17,Week 10,No,0,70,16,16-Jul-17,24-Sep-17,Jr. NTR,0,Star Maa
1,Archana,Actress,16-Jul-17,24-Sep-17,Week 10,No,0,70,16,16-Jul-17,24-Sep-17,Jr. NTR,0,Star Maa
1,Dhanraj,Comedian,16-Jul-17,26-Aug-17,Week 6,No,0,70,16,16-Jul-17,24-Sep-17,Jr. NTR,0,Star Maa
1,Hari Teja,Actress,16-Jul-17,24-Sep-17,Week 10,No,0,70,16,16-Jul-17,24-Sep-17,Jr. NTR,0,Star Maa
1,Jyothi,Actress,16-Jul-17,23-Jul-17,Week 1,No,0,70,16,16-Jul-17,24-Sep-17,Jr. NTR,0,Star Maa
1,Kalpana Raghavendar,Singer,16-Jul-17,13-Aug-17,Week 4,No,0,70,16,16-Jul-17,24-Sep-17,Jr. NTR,0,Star Maa
1,Kathi Karthika,TV Anchor,16-Jul-17,27-Aug-17,Week 6,No,0,70,16,16-Jul-17,24-Sep-17,Jr. NTR,0,Star Maa
1,Madhu Priya,Singer,16-Jul-17,30-Jul-17,Week 2,No,0,70,16,16-Jul-17,24-Sep-17,Jr. NTR,0,Star Maa
1,Mahesh Kathi,Film Critic,16-Jul-17,12-Aug-17,Week 4,No,0,70,16,16-Jul-17,24-Sep-17,Jr. NTR,0,Star Maa
1,Mumaith Khan,Actress,16-Jul-17,3-Sep-17,Week 7,No,0,70,16,16-Jul-17,24-Sep-17,Jr. NTR,0,Star Maa
1,Prince Cecil,Actor,16-Jul-17,10-Sep-17,Week 8,No,0,70,16,16-Jul-17,24-Sep-17,Jr. NTR,0,Star Maa
1,Sameer,Actor,16-Jul-17,6-Aug-17,Week 3,No,0,70,16,16-Jul-17,24-Sep-17,Jr. NTR,0,Star Maa
1,Sampoornesh Babu,Actor,16-Jul-17,25-Jul-17,NA,No,0,70,16,16-Jul-17,24-Sep-17,Jr. NTR,0,Star Maa
1,Siva Balaji,Actor,16-Jul-17,NA,NA,No,1,70,16,16-Jul-17,24-Sep-17,Jr. NTR,"50,00,000",Star Maa
1,Diksha Panth,Actress,31-Jul-17,17-Sep-17,Week 9,Yes,0,70,16,16-Jul-17,24-Sep-17,Jr. NTR,0,Star Maa
1,Navdeep,Actor,14-Aug-17,24-Sep-17,Week 10,Yes,0,70,16,16-Jul-17,24-Sep-17,Jr. NTR,0,Star Maa
2,,,10-Jun-18,,,,,,16,10-Jun-18,,Nani,,Star Maa
2,,,10-Jun-18,,,,,,16,10-Jun-18,,Nani,,Star Maa
2,,,10-Jun-18,,,,,,16,10-Jun-18,,Nani,,Star Maa
2,,,10-Jun-18,,,,,,16,10-Jun-18,,Nani,,Star Maa
2,,,10-Jun-18,,,,,,16,10-Jun-18,,Nani,,Star Maa
2,,,10-Jun-18,,,,,,16,10-Jun-18,,Nani,,Star Maa
2,,,10-Jun-18,,,,,,16,10-Jun-18,,Nani,,Star Maa
2,,,10-Jun-18,,,,,,16,10-Jun-18,,Nani,,Star Maa
2,,,10-Jun-18,,,,,,16,10-Jun-18,,Nani,,Star Maa
2,,,10-Jun-18,,,,,,16,10-Jun-18,,Nani,,Star Maa
2,,,10-Jun-18,,,,,,16,10-Jun-18,,Nani,,Star Maa
2,,,10-Jun-18,,,,,,16,10-Jun-18,,Nani,,Star Maa
2,,,10-Jun-18,,,,,,16,10-Jun-18,,Nani,,Star Maa
2,,,10-Jun-18,,,,,,16,10-Jun-18,,Nani,,Star Maa
2,,,10-Jun-18,,,,,,16,10-Jun-18,,Nani,,Star Maa
2,,,10-Jun-18,,,,,,16,10-Jun-18,,Nani,,Star Maa
